"annee";"mois";"titre";"prix";"nb_pieces";"surface";"secteur";"adresse"
"2015";"9";" Appartement 245 m2 haut Agdal ANNONCE DE PROFESSIONNEL ";"4300000";"3";"245 m²";"agdal";"Haut agdal "
"2015";"9";" Appartement 148 m2 à Rabat Agdal ";"2400000";"5";"148 m²";"agdal";"- "
"2015";"9";" Appartement 56 m2 à Rabat ANNONCE DE PROFESSIONNEL ";"450000";"2";"56 m²";"autre_secteur";"skhirat avenue hassan 2 "
"2015";"9";" Appartement 133 m2 à Guich des oudayas Rabat ";"1500000";"5";"133 m²";"autre_secteur";"Guich des oudayas Rabat "
"2015";"9";" Appartement 71 m2 à Rabat HAY NAHDA II TEMARA ";"610000";"3";"71 m²";"autre_secteur";"Avenue Mohamed zerktouni HAY NAHDA II TEMARA "
"2015";"9";" Appartement 83 m2 à Temara Centre Ville ";"640000";"3";"83 m²";"autre_secteur";"Avenue mohammed 5 Temara "
"2015";"9";" Appartement 65 m2 à Rabat ";"320000";"3";"65 m²";"autre_secteur";"- "
"2015";"9";" Appartement 108 m2 à Rabat Agdal ";"1470000";"4";"108 m²";"agdal";"12 rue oued fes appt 10 Agdal "
"2015";"9";" Appartement 125 m2 à Rabat Hassan ";"1360000";"4";"125 m²";"hassan";"appartement "
"2015";"9";" Appartement 75 m2 à Rabat Quartier de l'Océan ";"975000";"3";"75 m²";"quartier_de_l_ocean";"10 rue lisbonne "
"2015";"9";" Appartement 147 m2 à Rabat Agdal ";"2500000";"5";"147 m²";"agdal";"Agdal "
"2015";"9";" Appartement 85 m2 à Rabat ";"500000";"4";"85 m²";"autre_secteur";"Tamesna"
"2015";"9";" Appartement 140 m2 à Rabat Hay Riad ";"2500000";"4";"140 m²";"hay_riad";"Hay Riad Rabat "
"2015";"9";" Appartement 62 m2 à Rabat Hay el Fath ";"680000";"3";"62 m²";"hay_el_fath";"- "
"2015";"9";" Appartement 148 m2 à Rabat Agdal ";"2400000";"3";"148 m²";"agdal";"consulat du maroc"
"2015";"9";" Appartement ";"3060000";"3";"219 m²";"agdal";"Agdal "
"2015";"9";" Appartement à vendre à Hassan ";"1500000";"4";"98 m²";"hassan";"- "
"2015";"9";" Appartement 128 m2 à Rabat Agdal ";"2100000";"4";"128 m²";"agdal";"Agdal fal ould oumeir "
"2015";"9";" Trés bel appartement entièrement rénové ";"1400000";"3";"120 m²";"quartier_de_l_ocean";"Avenue Abdelkrim El Khattabi"
"2015";"9";" Appartement 57 m2 à Rabat ";"680000";"2";"57 m²";"autre_secteur";"rabat kebibat "
"2015";"9";" Appartement 130 m2 à Rabat Les Oudayas ANNONCE DE PROFESSIONNEL ";"1850000";"4";"130 m²";"les_oudayas";"Avenue oudayas "
"2015";"9";" شقة رائعة بكيش الاوداية ANNONCE DE PROFESSIONNEL ";"1850000";"4";"130 m²";"les_oudayas";"شارع الاوداية "
"2015";"9";" Appartement 130 m2 à Rabat kissarya wad addahabcym ANNONCE DE PROFESSIONNEL ";"840000";"4";"130 m²";"yacoub_el_mansour";"Rabat kissarya wad addahab cym "
"2015";"9";" برطما 46 متر في الرباط ";"250000";"2";"46 m²";"autre_secteur";"اقامة نسيم 1 الشقة a2العمارة a1هرهورة "
"2015";"9";" Appartement-garage individuel à Rabat Hay el Fath ";"1150000";"4";"104 m²";"hay_el_fath";"- "
"2015";"9";" Appartement 92 m2 à Rabat Yacoub El Mansour ";"920000";"3";"92 m²";"yacoub_el_mansour";"yacoub el mansour residence yasmine "
"2015";"9";" Appartement 65 m2 à Rabat Quartier de l'Océan ";"870000";"3";"65 m²";"quartier_de_l_ocean";"Avenue la résistance "
"2015";"9";" Appartement 170 m2 à Rabat ";"3500000";"4";"170 m²";"autre_secteur";"golf de bouznika "
"2015";"9";" Appartement 110 m2 à Rabat Agdal ";"1900000";"3";"110 m²";"agdal";"agdal "
"2015";"9";" Appartement 98 m2 à Rabat Yacoub El Mansour ";"950000";"4";"98 m²";"yacoub_el_mansour";"Résidence Essabah "
"2015";"9";" Appartement 173 m2 à Rabat Agdal ANNONCE DE PROFESSIONNEL ";"3000000";"5";"173 m²";"agdal";"haut d''agdal "
"2015";"9";" Appartement 90 m2 à Rabat Hay Nahda ANNONCE DE PROFESSIONNEL ";"1300000";"3";"90 m²";"hay_nahda";"hay nahda "
"2015";"9";" Appartement 82 m2 ";"850000";"3";"82 m²";"autre_secteur";"- "
"2015";"9";" Appartement 147 m2 à Rabat Agdal ";"2950000";"3";"147 m²";"agdal";"- "
"2015";"9";" Appartement 192 m2 à Rabat Agdal ";"3950000";"3";"192 m²";"agdal";"rue oukaimden à côté de MACDONALD et café LPG "
"2015";"9";" Appartement 50 m2 à Rabat Taqaddoum ";"200000";"1";"50 m²";"taqaddoum";"rue 72 numéro 52 hay rachad "
"2015";"9";" Appartement 73 m2 à Rabat Hay Nahda ";"550000";"3";"73 m²";"hay_nahda";"- "
"2015";"9";" Appartement 50 m2 à Tamesna ";"310000";"3";"50 m²";"autre_secteur";"TAMESNA- Diar al Mansour "
"2015";"9";" Appartement 110 m2 à Rabat Agdal ";"2400000";"5";"110 m²";"agdal";"ain asserdoun "
"2015";"9";" Appartement 337 m2 à Rabat Agdal ";"4400000";"4";"337 m²";"agdal";"Aguelman sidi ali agdal "
"2015";"9";" Appartement a diour jamae ";"890000";"3";"66 m²";"diour_jamaa";"rue farahat hachade "
"2015";"9";" Appartement 65 m2 à Rabat Hay Nahda ";"720000";"3";"65 m²";"hay_nahda";"Jnane Nahda 1er tranche "
"2015";"9";" Appartement 75 m2 près de la plage ANNONCE DE PROFESSIONNEL ";"910000";"3";"75 m²";"autre_secteur";"entre Salé et kenitra "
"2015";"9";" Appartement de 74m2 sur Hay el Fath Rabat ANNONCE DE PROFESSIONNEL ";"980000";"3";"74 m²";"hay_el_fath";"AMAL 5 N"
"2015";"9";" Appartement rez de chaussé à ne pas zapper ";"300000";"3";"56 m²";"yacoub_el_mansour";"douar al gar3a numero 3 bloc 8 yaacob mansour "
"2015";"9";" Bel appartement 82m2 sur Quartier El Wifaq Te ANNONCE DE PROFESSIONNEL ";"800000";"4";"82 m²";"autre_secteur";"AMAL 5 N"
"2015";"9";" Appartement 174 m2 à Rabat Hay Riad ";"3200000";"6";"174 m²";"hay_riad";"- "
"2015";"9";" Appartement 120 m2 à Wifaq Temara ";"9800000";"3";"120 m²";"autre_secteur";"Temara Wifaq "
"2015";"9";" Appartement 134 m2 à Rabat Hay Riad ";"2500000";"5";"134 m²";"hay_riad";"Résidence Nakhil Ryad "
